Qty,Value,Device,Package,Parts,PURCHASE-URL,DATASHEET-URL,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,SNAPEDA_LINK,SPICEPREFIX,VALUE
1,MISO,TP,TP20R,TP6,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,MOSI,TP,TP20R,TP7,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
6,PGB1010603MR.,PGB1010603MR.,DIOC1608X36N,"D6, D8, D9, D10, D11, D12",https://www.digikey.com/en/products/detail/littelfuse-inc/PGB1010603MR/715755,https://www.digikey.com/en/products/detail/littelfuse-inc/PGB1010603MR/715755,Check availability,,,,,,,,,,,,,,,,,,,,,,,
1,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,J3,https://www.digikey.lt/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710,https://www.digikey.lt/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710,SparkFun I2C Standard Qwiic Connector,,,,,,,,,,,,,,,,,,,,CONN-13694,,,QWIIC_RIGHT_ANGLE
1,RX,TP,TP20R,TP2,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,J2,https://www.digikey.lt/en/products/detail/gct/usb4110-gf-a/10384547,https://www.digikey.lt/en/products/detail/gct/usb4110-gf-a/10384547,CONN USB 2.0 TYPE-C R/A SMT,,,,,,CONN USB 2.0 TYPE-C R/A SMT,3.26mm,GCT (GLOBAL CONNECTOR TECHNOLOGY),USB4110-GF-A,,,640-USB4110-GF-A,https://www.mouser.co.uk/ProductDetail/GCT/USB4110-GF-A?qs=KUoIvG%2F9IlYiZvIXQjyJeA%3D%3D,,,,,,,,,,
1,SCK,TP,TP20R,TP8,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,D7,https://www.digikey.lt/en/products/detail/kyocera-avx/sd0805s020s1r0/3749517,https://www.digikey.lt/en/products/detail/kyocera-avx/sd0805s020s1r0/3749517,Schottky Barrier Rectifier Diode,,,,,,,,,,,,,,,,,,,,,,,
1,SI1308EDL-T1-GE3,SI1308EDL-T1-GE3,SOT65P210X110-3N,Q3,https://www.digikey.lt/en/products/detail/vishay-siliconix/si1308edl-t1-ge3/4876435,https://www.digikey.lt/en/products/detail/vishay-siliconix/si1308edl-t1-ge3/4876435,"MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70",,,In Stock,https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda,, Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70 | Siliconix / Vishay SI1308EDL-T1-GE3 ,,,,Vishay Siliconix,,,,,,SI1308EDL-T1-GE3,SOT-323 Vishay Semiconductor,None,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=274603&manufacturer=Vishay Siliconix&part_name=SI1308EDL-T1-GE3&search_term=None
1,TX,TP,TP20R,TP1,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,USBLC6-2SC6Y,USBLC6-2SC6Y,SOT95P280X145-6N,D1,https://www.digikey.lt/en/products/detail/stmicroelectronics/usblc6-2sc6y/2819177,https://www.digikey.lt/en/products/detail/stmicroelectronics/usblc6-2sc6y/2819177,"Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23",,,In Stock,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda,, 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ,,,,STMicroelectronics,,,,,,USBLC6-2SC6Y,SOT-23-6 STMicroelectronics,,None,,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=snap,,
1,VBAT,TP,TP20R,TP3,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,VBUS,TP,TP20R,TP14,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,W25Q512JVEIQ,W25Q512JVEIQ,SON127P600X800X80-9N,U1,https://www.digikey.lt/en/products/detail/winbond-electronics/w25q512jveiq/10244706,https://www.digikey.lt/en/products/detail/winbond-electronics/w25q512jveiq/10244706,Check availability,,,In Stock,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=eda,, FLASH - NOR Memory IC 512Mb (64M x 8) SPI - Quad I/O 133 MHz 8-WSON (8x6) ,,,,Winbond Electronics,,,,,,W25Q512JVEIQ,Package ,,None,,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=snap,,
1,XC6220A331MR-G,XC6220A331MR-G,SOT95P280X120-5N,IC4,https://www.digikey.lt/en/products/detail/torex-semiconductor-ltd/xc6220a331mr-g/10165775,https://www.digikey.lt/en/products/detail/torex-semiconductor-ltd/xc6220a331mr-g/10165775,LDO Voltage Regulators,,,,,,LDO Voltage Regulators,1.2mm,Torex,XC6220A331MR-G,,,865-XC6220A331MR-G,https://www.mouser.co.uk/ProductDetail/Torex-Semiconductor/XC6220A331MR-G?qs=AsjdqWjXhJ8ZSWznL1J0gg%3D%3D,,,,,,,,,,
